"Path","Reason","Size"
"data\experiments\fast_mode\build_restart_regs_only_20260524.log","excluded","471898"
"data\experiments\fast_mode\build_restart_regs_only_passband_20260524.log","excluded","472004"
"data\experiments\fast_mode\build_restart_regs_only_passband_edges_20260524.log","excluded","475748"
"data\experiments\fast_mode\build_restart_regs_only_warmup_sweep_20260524.log","excluded","707360"
"data\experiments\fast_mode\build_sampler_regs_only_20260524.log","excluded","199564"
"data\experiments\fast_mode\build_tdc_reset_enable_random3_ro3_20260524.log","excluded","267958"
"data\experiments\fast_mode\build_tdc_reset_enable_ro4_20260524.log","excluded","537756"
"data\experiments\fast_mode\fast_queue_stderr.log","excluded","0"
"data\experiments\fast_mode\fast_queue_stdout.log","excluded","47603"
"data\experiments\fast_mode\logs\original_fpga1_repeat02_5mib.log","excluded","10080"
"data\experiments\fast_mode\logs\original_fpga1_run01_10mib.log","excluded","10060"
"data\experiments\fast_mode\logs\random1_ro_freq_fixed_run02_2mib.log","excluded","9926"
"data\experiments\fast_mode\logs\random1_ro_freq_fixed_run03_2mib.log","excluded","9710"
"data\experiments\fast_mode\logs\random3_ro_freq_fixed_run01_5mib.log","excluded","9488"
"data\experiments\fast_mode\logs\random3_ro_freq_fixed_run02_2mib.log","excluded","9488"
"data\experiments\fast_mode\logs\random3_ro_freq_fixed_run03_2mib.log","excluded","9926"
"data\experiments\fast_mode\logs\tdc_far_run02_2mib.log","excluded","10754"
"data\experiments\fast_mode\logs\tdc_near_run03_2mib.log","excluded","11222"
"data\experiments\fast_mode\placement_repeat_logs_20260522\far_repeat03_20mib.log","excluded","8972"
"data\experiments\fast_mode\placement_repeat_logs_20260522\same_column_repeat03_20mib.log","excluded","9338"
"data\experiments\fast_mode\placement_repeat_logs_20260522\sparse_repeat03_20mib.log","excluded","9102"
"data\experiments\fast_mode\placement_repeat_remaining_20260522_stderr.log","excluded","0"
"data\experiments\fast_mode\placement_repeat_remaining_20260522_stdout.log","excluded","28539"
"data\experiments\fast_mode\placement_repeat_remaining_logs_20260522\checker_repeat03_20mib.log","excluded","8886"
"data\experiments\fast_mode\placement_repeat_remaining_logs_20260522\compact_repeat03_20mib.log","excluded","9080"
"data\experiments\fast_mode\placement_repeat_remaining_logs_20260522\cross_region_repeat03_20mib.log","excluded","8888"
"data\experiments\fast_mode\placement_repeat_remaining_logs_20260522\far_repeat03_20mib.log","excluded","8834"
"data\experiments\fast_mode\placement_repeat_remaining_logs_20260522\random2_repeat03_20mib.log","excluded","8878"
"data\experiments\fast_mode\placement_repeat_remaining_logs_20260522\row_repeat03_20mib.log","excluded","8862"
"data\experiments\fast_mode\restart_placement_build_20260515_stderr.log","excluded","384"
"data\experiments\fast_mode\restart_placement_build_20260515_stdout.log","excluded","940283"
"data\experiments\fast_mode\restart_random1_formal_bits_build\vivado_build_stderr.log","excluded","48"
"data\experiments\fast_mode\restart_random1_formal_bits_build\vivado_build_stdout.log","excluded","117014"
"data\experiments\fast_mode\restart_random1_formal_bits_capture\capture_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_random1_formal_bits_capture\capture_stdout.log","excluded","5218"
"data\experiments\fast_mode\restart_random3_formal_bits_repeat02_capture\capture_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_random3_formal_bits_repeat02_capture\capture_stdout.log","excluded","5365"
"data\experiments\fast_mode\restart_sampler_island_logs_20260523\restart_random1_sample_ro_local_warmup0_1000x125_20260523.log","excluded","14970"
"data\experiments\fast_mode\restart_sampler_island_logs_20260523\restart_random1_sample_ro_local_warmup12_1000x125_20260523.log","excluded","14822"
"data\experiments\fast_mode\restart_sampler_island_logs_20260523\restart_random1_sampler_island_local_warmup0_1000x125_20260523.log","excluded","15068"
"data\experiments\fast_mode\restart_sampler_island_logs_20260523\restart_random1_sampler_island_local_warmup12_1000x125_20260523.log","excluded","14852"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sample_ro_local_warmup10_1000x125_20260525.log","excluded","14836"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sample_ro_local_warmup11_1000x125_20260525.log","excluded","14836"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sample_ro_local_warmup4_1000x125_20260525.log","excluded","14830"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sample_ro_local_warmup5_1000x125_20260525.log","excluded","14830"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sampler_island_local_warmup10_1000x125_20260525.log","excluded","14866"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sampler_island_local_warmup11_1000x125_20260525.log","excluded","14866"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sampler_island_local_warmup4_1000x125_20260525.log","excluded","14860"
"data\experiments\fast_mode\restart_sampler_island_passband_logs_20260525\restart_random1_sampler_island_local_warmup5_1000x125_20260525.log","excluded","14860"
"data\experiments\fast_mode\restart_sampler_island_queue_20260523_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_sampler_island_queue_20260523_stdout.log","excluded","31543"
"data\experiments\fast_mode\restart_sampler_regs_only_20260524_stdout.log","excluded","60930"
"data\experiments\fast_mode\restart_sampler_regs_only_passband_20260524_stdout.log","excluded","91018"
"data\experiments\fast_mode\restart_sampler_regs_only_passband_edges_20260524_stdout.log","excluded","61024"
"data\experiments\fast_mode\restart_sampler_regs_only_passband_repeat02_20260524_stdout.log","excluded","153316"
"data\experiments\fast_mode\restart_sampler_regs_only_repeat02_20260524_stdout.log","excluded","124658"
"data\experiments\fast_mode\restart_sampler_regs_only_warmup_sweep_20260524_stdout.log","excluded","92202"
"data\experiments\fast_mode\restart_warmup10_build_20260515_stderr.log","excluded","48"
"data\experiments\fast_mode\restart_warmup10_build_20260515_stdout.log","excluded","117109"
"data\experiments\fast_mode\restart_warmup10_capture_20260515_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_warmup10_capture_20260515_stdout.log","excluded","5272"
"data\experiments\fast_mode\restart_warmup11_build_20260515_stderr.log","excluded","48"
"data\experiments\fast_mode\restart_warmup11_build_20260515_stdout.log","excluded","117220"
"data\experiments\fast_mode\restart_warmup11_capture_20260515_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_warmup11_capture_20260515_stdout.log","excluded","5272"
"data\experiments\fast_mode\restart_warmup12_build_20260515_stderr.log","excluded","48"
"data\experiments\fast_mode\restart_warmup12_build_20260515_stdout.log","excluded","117130"
"data\experiments\fast_mode\restart_warmup12_capture_20260515_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_warmup12_capture_20260515_stdout.log","excluded","5272"
"data\experiments\fast_mode\restart_warmup16_build_20260515_stderr.log","excluded","48"
"data\experiments\fast_mode\restart_warmup16_build_20260515_stdout.log","excluded","117385"
"data\experiments\fast_mode\restart_warmup16_capture_20260515_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_warmup16_capture_20260515_stdout.log","excluded","5383"
"data\experiments\fast_mode\restart_warmup8_build_20260515_stderr.log","excluded","48"
"data\experiments\fast_mode\restart_warmup8_build_20260515_stdout.log","excluded","117357"
"data\experiments\fast_mode\restart_warmup8_capture_20260515_stderr.log","excluded","0"
"data\experiments\fast_mode\restart_warmup8_capture_20260515_stdout.log","excluded","5377"
"data\experiments\fast_mode\sampler_regs_only_20260524_stdout.log","excluded","23950"
"data\experiments\fast_mode\sampler_regs_only_20mib_20260524_stdout.log","excluded","23884"
"data\experiments\fast_mode\sampler_regs_only_20mib_logs_20260524\random1_sampler_regs_only_x45y31_20mib_20260524.log","excluded","22508"
"data\experiments\fast_mode\sampler_regs_only_logs_20260524\random1_sampler_regs_only_x45y31_smoke_5mib_20260524.log","excluded","22564"
"data\experiments\fast_mode\short_queue_20260514_stderr.log","excluded","432"
"data\experiments\fast_mode\short_queue_20260514_stdout.log","excluded","17801"
